Periodo_Real,Año,Mes_Nombre,Programa_Base,Asignatura,Desaprobado,Desercion,Total_Alumnos,Tasa_Desaprobados,Tasa_Desercion
2014-01,2014,Enero,CARRERA DE CONTABILIDAD Y FINANZAS,MATEMÁTICA II  (A DISTANCIA),0,0,1,0.0,0.0
2014-01,2014,Enero,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,ACTIVIDADES I,0,1,1,0.0,1.0
2014-02,2014,Febrero,CARRERA DE CONTABILIDAD Y FINANZAS,MÉTODOS DE ESTUDIO,7,6,12,0.5833,0.5
2014-02,2014,Febrero,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE EXPRESIÓN ESCRITA  (A DISTANCIA),0,1,1,0.0,1.0
2014-02,2014,Febrero,CARRERA DE ECONOMIA,MÉTODOS DE ESTUDIO,5,8,16,0.3125,0.5
2014-02,2014,Febrero,CARRERA DE EDUCACION,METODOS DE ESTUDIO - HS,1,1,5,0.2,0.2
2014-03,2014,Marzo,CARRERA DE CONTABILIDAD Y FINANZAS,REALIDAD NACIONAL,3,7,14,0.2143,0.5
2014-03,2014,Marzo,CARRERA DE ECONOMIA,REALIDAD NACIONAL,0,3,14,0.0,0.2143
2014-03,2014,Marzo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,REALIDAD NACIONAL,0,2,6,0.0,0.3333
2014-03,2014,Marzo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,REALIDAD NACIONAL,1,0,2,0.5,0.0
2014-04,2014,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,ACTIVIDADES I,0,0,1,0.0,0.0
2014-04,2014,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE EXPRESIÓN ORAL,2,3,11,0.1818,0.2727
2014-04,2014,Abril,CARRERA DE ECONOMIA,ACTIVIDADES I,0,1,3,0.0,0.3333
2014-04,2014,Abril,CARRERA DE ECONOMIA,TALLER DE EXPRESIÓN ORAL,1,2,19,0.0526,0.1053
2014-04,2014,Abril,CARRERA DE EDUCACION,LENGUA I,1,2,11,0.0909,0.1818
2014-05,2014,Mayo,CARRERA DE CONTABILIDAD Y FINANZAS,MATEMÁTICA I,2,4,18,0.1111,0.2222
2014-05,2014,Mayo,CARRERA DE ECONOMIA,MATEMÁTICA I,5,7,23,0.2174,0.3043
2014-05,2014,Mayo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,MATEMÁTICA I,2,3,6,0.3333,0.5
2014-05,2014,Mayo,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,MATEMÁTICA I,2,3,5,0.4,0.6
2014-06,2014,Junio,CARRERA DE CONTABILIDAD Y FINANZAS,MÉTODOS DE ESTUDIO,7,10,26,0.2692,0.3846
2014-06,2014,Junio,CARRERA DE ECONOMIA,METODOLOGÍA DE LA INVESTIGACIÓN ,1,2,4,0.25,0.5
